15412;103.115.4.0/23;0:00:01;1556024748;1556024749;['15412', '9304', '132167', '45558', '38082', '7552', '136255', '135371', '136786']
15412;103.115.4.0/24;0:00:06;1556024789;1556024795;['15412', '9304', '132167', '4657', '1299', '6453', '45558', '63998', '136786']
15412;103.15.159.0/24;0:00:01;1556028067;1556028068;['15412', '18101', '132378']
15412;202.41.147.0/24;0:00:31;1556031738;1556031769;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
15412;103.5.63.0/24;0:00:33;1556035629;1556035662;['15412', '9304', '45499', '45499']
15412;185.207.176.0/24;0:00:01;1556035724;1556035725;['15412', '9381', '134098', '134098']
15412;203.190.146.0/24;0:00:00;1556046169;1556046169;['15412', '18101', '18101', '18101', '18101', '132215', '132215', '132215', '132215', '132215', '24397', '24397', '24397', '24397']
15412;2401:4800:2011::/48;0:00:20;1556056895;1556056915;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:20;1556056895;1556056915;['15412', '18101', '38457']
15412;115.126.45.0/24;0:00:00;1555978778;1555978778;['15412', '9381', '38186']
15412;103.215.125.0/24;0:00:01;1555983271;1555983272;['15412', '9381', '135369']
15412;203.30.201.0/24;0:00:30;1555986017;1555986047;['15412', '4826', '9822']
15412;103.217.156.0/24;0:00:27;1555987190;1555987217;['15412', '9304', '132167', '4657', '38082', '45558', '135405']
15412;103.49.19.0/24;0:00:30;1555987247;1555987277;['15412', '4826', '9822', '133940', '133940', '133940', '133940']
15412;43.229.69.0/24;0:00:52;1555989765;1555989817;['15412', '45629', '4618', '4618', '56134']
15412;183.182.79.0/24;0:00:30;1555990318;1555990348;['15412', '9304', '45250', '55303']
15412;183.182.79.0/24;0:00:50;1555993440;1555993490;['15412', '9304', '45250', '55303']
15412;183.182.79.0/24;0:00:29;1555993512;1555993541;['15412', '9304', '45250', '55303']
15412;2404:4100::/48;0:00:59;1555997293;1555997352;['15412', '18101', '9885', '55824', '38185']
15412;103.40.6.0/24;0:00:31;1555997906;1555997937;['15412', '9304', '45250', '45250', '45250', '133747']
15412;202.70.88.0/21;0:00:03;1556004816;1556004819;['15412', '9304', '23752', '23752', '23752', '23752', '23752']
15412;202.70.64.0/21;0:00:49;1556004957;1556005006;['15412', '9304', '23752', '23752', '23752', '23752', '23752']
15412;62.241.147.0/24;0:00:01;1556007253;1556007254;['15412', '8452', '24863']
15412;154.92.128.0/17;0:00:00;1556008703;1556008703;['15412', '9381', '133201']
15412;62.241.147.0/24;0:00:01;1556011785;1556011786;['15412', '8452', '24863']
15412;103.196.247.0/24;0:00:10;1556012153;1556012163;['15412', '9304', '24088', '131439']
15412;2401:b80::/32;0:00:09;1556012539;1556012548;['15412', '133334']
15412;196.43.237.0/24;0:00:07;1556012811;1556012818;['15412', '8452', '24863', '24863', '24863', '24863', '24863', '37444', '37444', '37444', '37444', '37444', '37444']
15412;2401:b80::/32;0:00:15;1556014948;1556014963;['15412', '133334']
15412;2401:b80::/32;0:00:14;1556016839;1556016853;['15412', '133334']
15412;41.33.146.0/24;0:00:02;1556018304;1556018306;['15412', '8452']
15412;103.206.159.0/24;0:00:38;1556018594;1556018632;['15412', '18101', '137027', '137027']
15412;118.99.63.0/24;0:00:01;1556019083;1556019084;['15412', '9381', '38186']
15412;118.99.63.0/24;0:00:16;1556019097;1556019113;['15412', '9381', '38186']
15412;41.33.146.0/24;0:00:17;1556019478;1556019495;['15412', '8452']
15412;43.240.29.0/24;0:00:01;1556019826;1556019827;['15412', '9381', '133199']
15412;203.13.16.0/24;0:00:30;1556020289;1556020319;['15412', '4826', '9822']
15412;46.100.0.0/16;0:00:00;1556021479;1556021479;['15412', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880']
15412;41.33.146.0/24;0:00:22;1556021698;1556021720;['15412', '8452']
15412;144.48.142.0/24;0:00:01;1556021962;1556021963;['15412', '9381', '135343']
15412;41.33.146.0/24;0:00:25;1556021969;1556021994;['15412', '8452']
15412;41.33.146.0/24;0:00:18;1556022030;1556022048;['15412', '8452']
15412;41.33.146.0/24;0:00:15;1556022582;1556022597;['15412', '8452']
15412;41.33.146.0/24;0:00:04;1556022772;1556022776;['15412', '8452']
