15412;103.108.104.0/22;0:00:02;0123;0123;['15412', '9304', '132167', '137431']
15412;203.157.15.0/24;0:00:28;0123;0123;['15412', '45629', '9649']
15412;103.57.226.0/24;0:00:26;0123;0123;['15412', '18101', '134029', '134029', '134029', '134029', '134029']
15412;103.254.151.0/24;0:00:01;0123;0123;['15412', '9381', '133199']
15412;124.124.232.0/24;0:00:06;0123;0123;['15412', '18101']
15412;124.124.232.0/24;0:00:05;0123;0123;['15412', '18101', '18101', '18101', '18101', '18101', '18101']
15412;124.124.232.0/24;0:00:04;0123;0123;['15412', '18101', '18101', '18101', '18101', '18101', '18101']
15412;103.79.119.0/24;0:00:33;0123;0123;['15412', '18101', '9885', '55824', '136005']
15412;41.33.146.0/24;0:00:22;0123;0123;['15412', '8452']
15412;202.4.0.0/22;0:00:31;0123;0123;['15412', '9304', '17639', '7306']
15412;103.115.4.0/24;0:00:29;0123;0123;['15412', '9304', '132167', '6453', '3491', '4651', '45558', '63998', '136786']
15412;103.115.4.0/23;0:00:01;0123;0123;['15412', '9304', '132167', '45558', '38082', '7552', '136255', '135371', '136786']
15412;103.115.4.0/24;0:00:06;0123;0123;['15412', '9304', '132167', '4657', '1299', '6453', '45558', '63998', '136786']
15412;103.15.159.0/24;0:00:01;0123;0123;['15412', '18101', '132378']
15412;202.41.147.0/24;0:00:31;0123;0123;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
15412;103.5.63.0/24;0:00:33;0123;0123;['15412', '9304', '45499', '45499']
15412;185.207.176.0/24;0:00:01;0123;0123;['15412', '9381', '134098', '134098']
15412;203.190.146.0/24;0:00:00;0123;0123;['15412', '18101', '18101', '18101', '18101', '132215', '132215', '132215', '132215', '132215', '24397', '24397', '24397', '24397']
15412;2401:4800:2011::/48;0:00:20;0123;0123;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:20;0123;0123;['15412', '18101', '38457']
15412;115.126.45.0/24;0:00:00;0123;0123;['15412', '9381', '38186']
15412;103.215.125.0/24;0:00:01;0123;0123;['15412', '9381', '135369']
15412;203.30.201.0/24;0:00:30;0123;0123;['15412', '4826', '9822']
15412;103.217.156.0/24;0:00:27;0123;0123;['15412', '9304', '132167', '4657', '38082', '45558', '135405']
15412;103.49.19.0/24;0:00:30;0123;0123;['15412', '4826', '9822', '133940', '133940', '133940', '133940']
15412;43.229.69.0/24;0:00:52;0123;0123;['15412', '45629', '4618', '4618', '56134']
15412;183.182.79.0/24;0:00:30;0123;0123;['15412', '9304', '45250', '55303']
15412;183.182.79.0/24;0:00:50;0123;0123;['15412', '9304', '45250', '55303']
15412;183.182.79.0/24;0:00:29;0123;0123;['15412', '9304', '45250', '55303']
15412;2404:4100::/48;0:00:59;0123;0123;['15412', '18101', '9885', '55824', '38185']
15412;103.40.6.0/24;0:00:31;0123;0123;['15412', '9304', '45250', '45250', '45250', '133747']
15412;202.70.88.0/21;0:00:03;0123;0123;['15412', '9304', '23752', '23752', '23752', '23752', '23752']
15412;202.70.64.0/21;0:00:49;0123;0123;['15412', '9304', '23752', '23752', '23752', '23752', '23752']
15412;62.241.147.0/24;0:00:01;0123;0123;['15412', '8452', '24863']
15412;154.92.128.0/17;0:00:00;0123;0123;['15412', '9381', '133201']
15412;62.241.147.0/24;0:00:01;0123;0123;['15412', '8452', '24863']
15412;103.196.247.0/24;0:00:10;0123;0123;['15412', '9304', '24088', '131439']
15412;2401:b80::/32;0:00:09;0123;0123;['15412', '133334']
